name,time,flow_in,flow_out,pressure_in,pressure_out
aorta,0.0000000000000000e+00,-2.7708549079999627e+00,2.1152772941540139e+00,1.5243916796127334e+05,1.5251936928507089e+05
aorta,1.0871087108732524e-04,-2.7764888999550705e+00,2.1138341039662314e+00,1.5243380892215279e+05,1.5251499947677070e+05
aorta,2.1742174217465049e-04,-2.7821228919101904e+00,2.1123722515579861e+00,1.5242844534296100e+05,1.5251062522465689e+05
aorta,3.2613261326197573e-04,-2.7877568838653031e+00,2.1108917353399801e+00,1.5242307719795857e+05,1.5250624650624234e+05
aorta,4.3484348434752462e-04,-2.7933908758204207e+00,2.1093925539804479e+00,1.5241770451693158e+05,1.5250186329908096e+05
aorta,5.4355435543484987e-04,-2.7990248677753971e+00,2.1078747070354322e+00,1.5241232731835893e+05,1.5249747558076921e+05
aorta,6.5226522652217511e-04,-2.8046588597305817e+00,2.1063381948719888e+00,1.5240694562308284e+05,1.5249308332894772e+05
aorta,7.6097609760950036e-04,-2.8102928516856629e+00,2.1047830186724674e+00,1.5240155945142120e+05,1.5248868652130300e+05
aorta,8.6968696869682560e-04,-2.8159268436407947e+00,2.1032091804345754e+00,1.5239616882382028e+05,1.5248428513556928e+05
aorta,9.7839783978415085e-04,-2.8215608355959021e+00,2.1016166829698109e+00,1.5239077376068497e+05,1.5247987914953011e+05
aorta,1.0871087108714761e-03,-2.8271948275510210e+00,2.1000055299026479e+00,1.5238537428243080e+05,1.5247546854102006e+05
aorta,1.1958195819588013e-03,-2.8328288195061360e+00,2.0983757256694124e+00,1.5237997040946281e+05,1.5247105328792660e+05
aorta,1.3045304530443502e-03,-2.8384628114612513e+00,2.0967272755171824e+00,1.5237456216218360e+05,1.5246663336819154e+05
aorta,1.4132413241316755e-03,-2.8440968034162286e+00,2.0950601855026170e+00,1.5236914956098818e+05,1.5246220875981299e+05
aorta,1.5219521952190007e-03,-2.8497307953714133e+00,2.0933744624907429e+00,1.5236373262626521e+05,1.5245777944084696e+05
aorta,1.6306630663063260e-03,-2.8553647873264940e+00,2.0916701141536893e+00,1.5235831137839501e+05,1.5245334538940908e+05
aorta,1.7393739373936512e-03,-2.8609987792816272e+00,2.0899471489693746e+00,1.5235288583774929e+05,1.5244890658367632e+05
aorta,1.8480848084809764e-03,-2.8666327712367332e+00,2.0882055762201421e+00,1.5234745602468995e+05,1.5244446300188862e+05
aorta,1.9567956795683017e-03,-2.8722667631918539e+00,2.0864454059913484e+00,1.5234202195956829e+05,1.5244001462235066e+05
aorta,2.0655065506556269e-03,-2.8779007551469666e+00,2.0846666491699017e+00,1.5233658366272415e+05,1.5243556142343351e+05
aorta,2.1742174217411758e-03,-2.8835347471020834e+00,2.0828693174427513e+00,1.5233114115448506e+05,1.5243110338357632e+05
aorta,2.2829282928285011e-03,-2.8891687390570602e+00,2.0810534232953297e+00,1.5232569445516527e+05,1.5242664048128802e+05
aorta,2.3916391639158263e-03,-2.8948027310122448e+00,2.0792189800099439e+00,1.5232024358506498e+05,1.5242217269514894e+05
aorta,2.5003500350031516e-03,-2.9004367229673251e+00,2.0773660016641196e+00,1.5231478856446940e+05,1.5241770000381253e+05
aorta,2.6090609060904768e-03,-2.9060707149224587e+00,2.0754945031288976e+00,1.5230932941364791e+05,1.5241322238600694e+05
aorta,2.7177717771778021e-03,-2.9117047068775657e+00,2.0736045000670806e+00,1.5230386615285321e+05,1.5240873982053672e+05
aorta,2.8264826482651273e-03,-2.9173386988326850e+00,2.0716960089314331e+00,1.5229839880232039e+05,1.5240425228628449e+05
aorta,2.9351935193524525e-03,-2.9229726907877986e+00,2.0697690469628345e+00,1.5229292738226612e+05,1.5239975976221255e+05
aorta,3.0439043904380014e-03,-2.9286066827429145e+00,2.0678236321883814e+00,1.5228745191288780e+05,1.5239526222736444e+05
aorta,3.1526152615253267e-03,-2.9342406746978917e+00,2.0658597834194454e+00,1.5228197241436268e+05,1.5239075966086661e+05
aorta,3.2613261326126519e-03,-2.9398746666530764e+00,2.0638775202496853e+00,1.5227648890684696e+05,1.5238625204193004e+05
aorta,3.3700370036999772e-03,-2.9455086586081567e+00,2.0618768630530080e+00,1.5227100141047506e+05,1.5238173934985185e+05
aorta,3.4787478747873024e-03,-2.9511426505632907e+00,2.0598578329814865e+00,1.5226550994535859e+05,1.5237722156401677e+05
aorta,3.5874587458746277e-03,-2.9567766425183963e+00,2.0578204519632286e+00,1.5226001453158565e+05,1.5237269866389889e+05
aorta,3.6961696169619529e-03,-2.9624106344735170e+00,2.0557647427002017e+00,1.5225451518921991e+05,1.5236817062906310e+05
aorta,3.8048804880492781e-03,-2.9680446264286293e+00,2.0536907286660102e+00,1.5224901193829981e+05,1.5236363743916669e+05
aorta,3.9135913591348270e-03,-2.9736786183837465e+00,2.0515984341036289e+00,1.5224350479883765e+05,1.5235909907396088e+05
aorta,4.0223022302221523e-03,-2.9793126103387237e+00,2.0494878840230886e+00,1.5223799379081879e+05,1.5235455551329238e+05
aorta,4.1310131013094775e-03,-2.9849466022939080e+00,2.0473591041991175e+00,1.5223247893420083e+05,1.5235000673710491e+05
aorta,4.2397239723968028e-03,-2.9905805942489891e+00,2.0452121211687393e+00,1.5222696024891277e+05,1.5234545272544070e+05
aorta,4.3484348434841280e-03,-2.9967186652088547e+00,2.0430469592338132e+00,1.5222143644139566e+05,1.5234089345843589e+05
aorta,4.4571457145714533e-03,-3.0032087224142376e+00,2.0408636365771060e+00,1.5221590739753697e+05,1.5233632891630623e+05
aorta,4.5658565856587785e-03,-3.0095227864968623e+00,2.0386621673864216e+00,1.5221037411669630e+05,1.5233175907933476e+05
aorta,4.6745674567461037e-03,-3.0159248471408655e+00,2.0364425657132794e+00,1.5220483610220934e+05,1.5232718392786817e+05
aorta,4.7832783278334290e-03,-3.0222829095041797e+00,2.0342048464597999e+00,1.5219929363763516e+05,1.5232260344231792e+05
aorta,4.8919891989189779e-03,-3.0286629710078392e+00,2.0319490252759853e+00,1.5219374660976394e+05,1.5231801760316172e+05
